楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
いますぐ輪廻,MAXIMUM,17,COMPLETE,AA,9332174,0,4,4,0,0
L2 -Reminiscence- (SDVX ver.),EXHAUST,17.5,COMPLETE,AA+,9685064,0,1,1,0,0
お返事まだカナ？おじさん構文！,EXHAUST,15,COMPLETE,AAA+,9813407,0,1,1,0,0
サイエンス,MAXIMUM,17,COMPLETE,AA+,9556410,0,1,1,0,0
Synthesis.,EXHAUST,17,COMPLETE,AA+,9651216,0,1,1,0,0
snooze,MAXIMUM,17,COMPLETE,A+,9063492,0,1,1,0,0
Zany Arcadia "E",EXHAUST,17.5,COMPLETE,AA,9425456,0,1,1,0,0
ハートインワンダーランド,MAXIMUM,17.5,COMPLETE,AA+,9560301,0,1,1,0,0
Sunlit toybox,EXHAUST,16,COMPLETE,AAA,9788867,0,1,1,0,0
朱と碧のランページ(covered by 儒烏風亭らでん(ReGLOSS)),MAXIMUM,17,COMPLETE,AA,9396775,0,2,2,0,0
Shooting Star,MAXIMUM,17,COMPLETE,AAA,9712230,0,5,5,0,0
murmur twins (guitar pop ver.),MAXIMUM,17,COMPLETE,AA+,9612584,0,1,1,0,0
FRENZY HEART,EXHAUST,17,COMPLETE,AA+,9540110,0,1,1,0,0
HOLOGRAPHY,MAXIMUM,18.3,PLAYED,B,8379781,0,1,0,0,0
Like the Starlight,EXHAUST,16,COMPLETE,AAA,9723374,0,1,1,0,0
Like the Starlight,MAXIMUM,18.2,PLAYED,A+,9143950,0,3,0,0,0
オーバーライド,MAXIMUM,18.1,PLAYED,A+,9226862,0,2,0,0,0
右肩の蝶 (空澄セナ Cover),MAXIMUM,17,COMPLETE,AA,9494981,0,1,1,0,0
ØVER《Δ》,EXHAUST,17.5,PLAYED,D,5605656,0,1,0,0,0
カミツレの成り方,EXHAUST,16,PLAYED,AAA,9729140,0,3,0,0,0
Grαnd Arχitect,EXHAUST,16,PLAYED,AA+,9578947,0,1,0,0,0
エクスプロウル,MAXIMUM,18.5,PLAYED,B,8588054,0,2,0,0,0
Windy Fairy,MAXIMUM,17,COMPLETE,AA,9369390,0,1,1,0,0
Ö<3rf10₩,EXHAUST,17,COMPLETE,AA+,9660759,0,2,2,0,0
Crossfade,MAXIMUM,17,COMPLETE,AAA,9708619,0,3,3,0,0
What's up? Pop!,EXHAUST,17.5,COMPLETE,AA,9426229,0,1,1,0,0
回想音楽 - Thank you for your playing music,MAXIMUM,17,COMPLETE,AA+,9623366,0,1,1,0,0
いいわけバニー,MAXIMUM,17.5,PLAYED,AA,9352636,0,1,0,0,0
ロマンシングエスケープ,MAXIMUM,17,COMPLETE,AA+,9501965,0,1,1,0,0
C18H27NO3(ryhki remix),MAXIMUM,18.2,COMPLETE,A+,9262152,0,1,1,0,0
Profession (αirlemoneX "Mechanical Engineering" Remix),MAXIMUM,17,COMPLETE,AA+,9650410,0,1,1,0,0
強風オールバック,MAXIMUM,17.5,COMPLETE,A+,9259938,0,1,1,0,0
テトリス,MAXIMUM,18.2,PLAYED,A+,9132878,0,7,0,0,0
人マニア,MAXIMUM,17.5,PLAYED,A+,9237777,0,1,0,0,0
B.B.K.K.B.K.K. (影虎。 & siqlo PsyRemix),MAXIMUM,17,COMPLETE,AA,9450431,0,4,4,0,0
I'm Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,MAXIMUM,17,COMPLETE,AA,9336638,0,1,1,0,0
COSMIC V3LOCITY,EXHAUST,17,COMPLETE,AA,9312169,0,1,1,0,0
SOLAR ECLIPSE,EXHAUST,17,COMPLETE,AA,9452770,0,1,1,0,0
Imitated Visions,EXHAUST,16,PLAYED,AAA,9749114,0,2,0,0,0
こどもかくしのアンダーランド,EXHAUST,16,PLAYED,AA+,9659932,0,1,0,0,0
憧憬のファンファーレ,EXHAUST,16,PLAYED,AA+,9578532,0,1,0,0,0
Voice 2 Voice n Voice,MAXIMUM,17,COMPLETE,AA,9360086,0,1,1,0,0
Growing Up／アニメ「この素晴らしい世界に祝福を！３」より,MAXIMUM,17,COMPLETE,AA+,9579630,0,1,1,0,0
GIGI BABA(brz_style),MAXIMUM,18.1,COMPLETE,AA,9387500,0,2,1,0,0
¡¡Fanta∽cramble!!,MAXIMUM,17,COMPLETE,AA,9482084,0,1,1,0,0
残像ニ繋ガレタ追憶ノHIDEAWAY,MAXIMUM,17,COMPLETE,AA+,9670454,0,3,3,0,0
黒紅掬い,MAXIMUM,17,COMPLETE,AA+,9691011,0,1,1,0,0
邪魔をしないで,MAXIMUM,17,COMPLETE,AAA,9780588,0,1,1,0,0
Hopscotch,MAXIMUM,17.5,COMPLETE,AA,9434523,0,1,1,0,0
月明りの旅人たち,MAXIMUM,17,COMPLETE,AA,9315684,0,1,1,0,0
